====== LL 550 ======,,====== Heap 550 ======,,====== STL 550 ======
0.000886,,0.000751,,0.000987
0.000886,,0.000745,,0.000987
0.000884,,0.000682,,0.00099
0.000887,,0.000709,,0.00099
0.000927,,0.000675,,0.001163
0.000885,,0.00067,,0.001055
0.000884,,0.000671,,0.001
0.000888,,0.000773,,0.001003
0.000885,,0.000669,,0.000993
0.000885,,0.000669,,0.00101
0.000884,,0.000671,,0.001003
0.000885,,0.000693,,0.000993
0.000943,,0.000671,,0.001004
0.001045,,0.00069,,0.001007
0.00101,,0.000757,,0.000997
0.000888,,0.000834,,0.001006
0.000885,,0.000737,,0.000993
0.000885,,0.000675,,0.001062
0.000885,,0.000676,,0.000995
0.000885,,0.000764,,0.000989
0.000884,,0.000673,,0.000992
0.000886,,0.000673,,0.001054
0.000899,,0.00067,,0.000993
0.00122,,0.000696,,0.000999
0.00121,,0.000671,,0.000991
0.000926,,0.000872,,0.000991
0.001161,,0.000669,,0.00099
0.000919,,0.000671,,0.001008
0.000975,,0.000675,,0.000995
0.000982,,0.000678,,0.000996
0.000961,,0.000671,,0.00099
0.000913,,0.00067,,0.000995
0.000929,,0.000672,,0.000995
0.000887,,0.000671,,0.000999
0.000886,,0.00067,,0.000991
0.000887,,0.000713,,0.000989
0.000883,,0.000678,,0.000998
0.000886,,0.000743,,0.001023
0.000883,,0.000755,,0.001043
0.00097,,0.000836,,0.000994
0.000944,,0.000723,,0.001046
0.000886,,0.000673,,0.001025
0.000886,,0.000671,,0.001047
0.000911,,0.000671,,0.000989
0.000883,,0.000812,,0.000994
0.000887,,0.000671,,0.001066
0.000884,,0.000669,,0.000994
0.000919,,0.000669,,0.001001
0.000893,,0.000671,,0.00099
0.000886,,0.000674,,0.000995
0.000885,,0.000671,,0.000991
0.000886,,0.000672,,0.000995
0.000886,,0.000669,,0.000999
0.000885,,0.00067,,0.000992
0.000883,,0.00065,,0.000989
0.000885,,0.00065,,0.001048
0.000956,,0.00065,,0.000992
0.000934,,0.000793,,0.000993
0.000885,,0.000707,,0.000996
0.000886,,0.000706,,0.000991
0.000886,,0.000657,,0.001026
0.000886,,0.000709,,0.001263
0.000885,,0.000875,,0.00101
0.000887,,0.000814,,0.000994
0.000887,,0.000738,,0.000993
0.001089,,0.000655,,0.000993
0.000967,,0.000654,,0.000995
0.000884,,0.00067,,0.000997
0.000881,,0.000673,,0.001017
0.000884,,0.000671,,0.001066
0.000882,,0.000672,,0.001027
0.000883,,0.000671,,0.001035
0.00088,,0.000672,,0.001001
0.00088,,0.000716,,0.001
0.00088,,0.000673,,0.000995
0.000884,,0.000671,,0.000991
